feature_name,importance
numeric__seller_avg_prep_minutes,5019.533214434981
categorical__seller_category_electronics,1442.4616377055645
numeric__trip_distance_km,1441.5100208818913
numeric__courier_load,973.1570523232222
numeric__seller_reliability,894.5323499441147
numeric__order_size,537.8806207031012
numeric__dropoff_latitude,522.6121156811714
numeric__is_peak_hour,514.9819968938828
numeric__hour_of_day,482.43723860383034
numeric__pickup_longitude,455.61250807344913
numeric__pickup_latitude,442.1795988827944
numeric__dropoff_longitude,418.1227934360504
numeric__is_high_complexity_order,337.3139868080616
numeric__day_of_week,278.61062709987164
categorical__seller_category_fashion,131.36051493883133
numeric__month,125.58144786953926
numeric__priority_flag,68.80915312469006
categorical__seller_category_pharmacy,66.20500792562962
categorical__seller_category_restaurant,31.97774988412857
categorical__seller_category_supermarket,24.302125245332718
numeric__is_weekend,14.656141936779022
