feature_name,importance
numeric__is_high_complexity_order,33950.27500012517
numeric__seller_avg_prep_minutes,27006.824057221413
numeric__trip_distance_km,15312.711567044258
numeric__is_peak_hour,12802.711911737919
numeric__seller_reliability,10526.69026067853
numeric__courier_load,10357.714237809181
numeric__order_size,7622.710680514574
numeric__hour_of_day,2620.2544673085213
categorical__seller_category_pharmacy,2489.467801988125
numeric__dropoff_latitude,1758.3184695839882
numeric__priority_flag,1486.1024897694588
numeric__dropoff_longitude,1250.0765277445316
numeric__pickup_longitude,1230.75062251091
categorical__seller_category_supermarket,1204.1564712524414
numeric__pickup_latitude,1027.834765791893
categorical__seller_category_restaurant,820.7897573113441
numeric__day_of_week,741.1063877046108
categorical__seller_category_electronics,570.5163938999176
categorical__seller_category_fashion,417.4051991701126
numeric__month,295.9662588238716
numeric__is_weekend,40.098654329776764
