feature_name,importance
numeric__seller_avg_prep_minutes,129226.19740384817
numeric__is_high_complexity_order,29189.720377266407
numeric__trip_distance_km,19919.9502286911
numeric__courier_load,11414.165122449398
numeric__seller_reliability,11260.565841913223
numeric__is_peak_hour,10776.680764615536
numeric__order_size,9732.669865727425
categorical__seller_category_pharmacy,5743.431250691414
categorical__seller_category_restaurant,5231.583326339722
numeric__hour_of_day,3859.7111597061157
categorical__seller_category_supermarket,3726.818514227867
categorical__seller_category_fashion,3623.5875883102417
categorical__seller_category_electronics,2599.2224284410477
numeric__dropoff_latitude,2470.430211365223
numeric__pickup_longitude,1824.7016233205795
numeric__priority_flag,1763.868010699749
numeric__pickup_latitude,1607.8269914984703
numeric__dropoff_longitude,1552.9580057263374
numeric__day_of_week,1192.7462630271912
numeric__month,391.7454285621643
numeric__is_weekend,66.13483881950378
