feature_name,importance
numeric__is_high_complexity_order,7116.549046188593
numeric__seller_avg_prep_minutes,5872.047426730394
numeric__trip_distance_km,5820.775110632181
numeric__courier_load,4919.99912647903
numeric__is_peak_hour,4887.327479869127
numeric__seller_reliability,4689.778565660119
numeric__order_size,2727.3283411860466
numeric__hour_of_day,936.3711500763893
numeric__dropoff_latitude,821.2529157400131
categorical__seller_category_pharmacy,760.0414563715458
numeric__priority_flag,610.9534201323986
numeric__pickup_longitude,589.6790026426315
numeric__dropoff_longitude,584.40480299294
numeric__pickup_latitude,540.5208086371422
categorical__seller_category_supermarket,362.591688901186
numeric__day_of_week,300.75182792544365
categorical__seller_category_restaurant,291.0511135458946
numeric__month,132.61358225345612
categorical__seller_category_electronics,113.5650927722454
categorical__seller_category_fashion,57.76832327246666
numeric__is_weekend,20.6376091837883
